example_id                                                         | status  | run_time        |
./spec/models/insolation_spec.rb[1:1:2]                            | passed  | 0.00994 seconds |
./spec/models/insolation_spec.rb[1:1:3]                            | passed  | 0.00137 seconds |
./spec/models/land_extent_spec.rb[1:1:1]                           | passed  | 0.00086 seconds |
./spec/models/land_extent_spec.rb[1:1:2]                           | passed  | 0.00108 seconds |
./spec/models/land_extent_spec.rb[1:2:1]                           | passed  | 0.00072 seconds |
./spec/models/land_extent_spec.rb[1:2:2]                           | passed  | 0.00089 seconds |
./spec/models/land_grid_spec.rb[1:1:1]                             | passed  | 0.00112 seconds |
./spec/models/land_grid_spec.rb[1:1:2]                             | passed  | 0.00091 seconds |
./spec/models/land_grid_spec.rb[1:1:3]                             | passed  | 0.00069 seconds |
./spec/models/land_grid_spec.rb[1:1:4]                             | passed  | 0.00075 seconds |
./spec/models/land_grid_spec.rb[1:1:5]                             | passed  | 0.00069 seconds |
./spec/models/land_grid_spec.rb[1:1:6]                             | passed  | 0.0007 seconds  |
./spec/models/land_grid_spec.rb[1:2:1]                             | passed  | 0.00089 seconds |
./spec/models/land_grid_spec.rb[1:2:2]                             | passed  | 0.00081 seconds |
./spec/models/land_grid_spec.rb[1:2:3]                             | passed  | 0.00073 seconds |
./spec/models/land_grid_spec.rb[1:2:4]                             | passed  | 0.0007 seconds  |
./spec/models/land_grid_spec.rb[1:2:5]                             | passed  | 0.00083 seconds |
./spec/models/land_grid_spec.rb[1:3:1]                             | passed  | 0.0007 seconds  |
./spec/models/land_grid_spec.rb[1:3:2]                             | passed  | 0.00095 seconds |
./spec/models/land_grid_spec.rb[1:4:1]                             | passed  | 0.00077 seconds |
./spec/models/land_grid_spec.rb[1:4:2]                             | passed  | 0.00082 seconds |
./spec/models/land_grid_spec.rb[1:4:3]                             | passed  | 0.00075 seconds |
./spec/models/land_grid_spec.rb[1:5:1]                             | passed  | 0.00083 seconds |
./spec/models/land_grid_spec.rb[1:5:2]                             | passed  | 0.00079 seconds |
./spec/models/land_grid_spec.rb[1:5:3]                             | passed  | 0.00072 seconds |
./spec/models/land_grid_spec.rb[1:5:4]                             | passed  | 0.00076 seconds |
./spec/models/land_grid_spec.rb[1:6:1]                             | passed  | 0.00139 seconds |
./spec/models/pest_forecast_spec.rb[1:1:1]                         | passed  | 0.00243 seconds |
./spec/models/pest_forecast_spec.rb[1:1:2]                         | passed  | 0.00201 seconds |
./spec/models/pest_forecast_spec.rb[1:2:1]                         | passed  | 0.00303 seconds |
./spec/models/pest_forecast_spec.rb[1:2:2]                         | passed  | 0.00376 seconds |
./spec/models/pest_forecast_spec.rb[1:2:3]                         | passed  | 0.0023 seconds  |
./spec/models/pest_forecast_spec.rb[1:3:1]                         | passed  | 0.00398 seconds |
./spec/models/pest_forecast_spec.rb[1:3:2]                         | passed  | 0.00318 seconds |
./spec/models/pest_forecast_spec.rb[1:3:3]                         | passed  | 0.003 seconds   |
./spec/models/pest_forecast_spec.rb[1:4:1]                         | passed  | 0.00532 seconds |
./spec/models/pest_forecast_spec.rb[1:4:2]                         | passed  | 0.00562 seconds |
./spec/models/pest_forecast_spec.rb[1:4:3]                         | passed  | 0.0022 seconds  |
./spec/models/range_array_spec.rb[1:1:1]                           | passed  | 0.00066 seconds |
./spec/models/range_array_spec.rb[1:1:2]                           | passed  | 0.0007 seconds  |
./spec/models/range_array_spec.rb[1:1:3]                           | passed  | 0.00071 seconds |
./spec/models/range_array_spec.rb[1:1:4]                           | passed  | 0.00073 seconds |
./spec/models/range_array_spec.rb[1:1:5]                           | passed  | 0.0009 seconds  |
./spec/models/range_array_spec.rb[1:2:1]                           | passed  | 0.00077 seconds |
./spec/models/range_array_spec.rb[1:2:2]                           | passed  | 0.00063 seconds |
./spec/models/range_array_spec.rb[1:2:3]                           | passed  | 0.00062 seconds |
./spec/models/range_array_spec.rb[1:3:1]                           | passed  | 0.00069 seconds |
./spec/models/range_array_spec.rb[1:3:2]                           | passed  | 0.0007 seconds  |
./spec/models/range_array_spec.rb[1:3:3]                           | passed  | 0.00075 seconds |
./spec/models/range_array_spec.rb[1:4:1]                           | passed  | 0.00066 seconds |
./spec/models/range_array_spec.rb[1:4:2]                           | passed  | 0.00063 seconds |
./spec/models/range_array_spec.rb[1:4:3]                           | passed  | 0.00065 seconds |
./spec/models/range_array_spec.rb[1:4:4]                           | passed  | 0.0011 seconds  |
./spec/models/range_array_spec.rb[1:5:1]                           | passed  | 0.00068 seconds |
./spec/models/range_array_spec.rb[1:5:2]                           | passed  | 0.00065 seconds |
./spec/models/range_array_spec.rb[1:5:3]                           | passed  | 0.00063 seconds |
./spec/models/range_array_spec.rb[1:5:4]                           | passed  | 0.00098 seconds |
./spec/models/range_array_spec.rb[1:6:1]                           | passed  | 0.00086 seconds |
./spec/models/range_array_spec.rb[1:6:2]                           | passed  | 0.00081 seconds |
./spec/models/range_array_spec.rb[1:6:3]                           | passed  | 0.00089 seconds |
./spec/models/range_array_spec.rb[1:7:1]                           | passed  | 0.00392 seconds |
./spec/models/range_array_spec.rb[1:7:2]                           | passed  | 0.00521 seconds |
./spec/models/range_array_spec.rb[1:8:1]                           | passed  | 0.00098 seconds |
./spec/models/range_array_spec.rb[1:8:2]                           | passed  | 0.00082 seconds |
./spec/models/range_array_spec.rb[1:8:3]                           | passed  | 0.00093 seconds |
./spec/models/range_array_spec.rb[1:8:4]                           | passed  | 0.00068 seconds |
./spec/models/range_array_spec.rb[1:9:1]                           | passed  | 0.00072 seconds |
./spec/models/range_array_spec.rb[1:9:2]                           | passed  | 0.00427 seconds |
./spec/models/range_array_spec.rb[1:9:3]                           | passed  | 0.00074 seconds |
./spec/models/range_array_spec.rb[1:9:4]                           | passed  | 0.00066 seconds |
